"legacy URL","title","year","parsed VIN","price","mileage","image count","target status","warnings","normalized fields","normalization changes"
"https://www.ycautousa.com/2016-NISSAN-ROGUE-AWD-SV-p.html","2016 Nissan Rogue AWD SV","2016","5N1AT2MV0GC830933","$11,500","86500","5","available","","Nissan; Rogue SV; SLIVE; AWD; Automatic","title capitalization normalized; NISSAN normalized to Nissan; AUTO normalized to Automatic"
"https://www.ycautousa.com/2017-HONDA-ACCORD-EX-L-p.html","2017 Honda Accord EX-L","2017","1HGCR2F97HA151526","$20,900","54000","6","available","","Honda; Accord EX-L; BLACK; FWD; Automatic","title capitalization normalized; HONDA normalized to Honda; AUTO normalized to Automatic"
"https://www.ycautousa.com/2018-HONDA-ODYSSEY-MINIVAN-EX-L-p.html","2018 Honda Odyssey MINIVAN EX-L","2018","5FNRL6H74JB065942","$16,500","147000","7","available","","Honda; Odyssey EX-L; WHITE; FWD; Automatic","title capitalization normalized; HONDA normalized to Honda; AUTO normalized to Automatic"
"https://www.ycautousa.com/2010-SUBARU-LEGACY-PREMIUM-p.html","2010 Subaru Legacy Premium","2010","4S3BMBG69A3212107","$5,900","150000","7","available","","Subaru; Legacy Premium; SLIVE; AWD; Automatic","title capitalization normalized; SUBARU normalized to Subaru; AUTO normalized to Automatic"
"https://www.ycautousa.com/2023-LEXUS-RX350-PREMIUM-p.html","2023 Lexus RX350 Premium","2023","2T2BAMCA3PC028842","$41,900","49000","4","available","","Lexus; RX350 Premium; SLIVE; AWD; Automatic","title capitalization normalized; LEXUS normalized to Lexus; AUTO normalized to Automatic"
"https://www.ycautousa.com/2021-TOYOTA-RAV4-AWD-HYBRID-p.html","2021 Toyota RAV4 AWD Hybrid","2021","2T3E6RFV8MW016038","$25,900","100000","7","available","","Toyota; RAV4 Hybrid; GRAY; AWD; Automatic","title capitalization normalized; TOYOTA normalized to Toyota; AUTO normalized to Automatic"
"https://www.ycautousa.com/2023-PORSCHE-CAYENNE-p.html","2023 Porsche Cayenne","2023","WP1AA2AY1PDA08482","$59,999","16877","6","available","","Porsche; Cayenne; BLACK; AWD; Automatic","title capitalization normalized; PORCHE normalized to Porsche; AUTO normalized to Automatic"
"https://www.ycautousa.com/2024-TOYOTA-RAV4-AWD-4D-SUV-XLE-p.html","2024 Toyota RAV4 AWD 4D SUV XLE","2024","2T3P1RFV6RC395184","$30,500","60000","6","available","","Toyota; RAV4 XLE; WHITE; AWD; Automatic","title capitalization normalized; TOYOTA normalized to Toyota; AUTO normalized to Automatic"
"https://www.ycautousa.com/2016-Sienna-XLE-FWD-p.html","2016 Sienna XLE FWD","2016","5TDYK3DC9GS712520","$21,900","109000","9","available","","Toyota; Sienna XLE; GRAY; FWD; Automatic","TOYOTA normalized to Toyota; AUTO normalized to Automatic"
"https://www.ycautousa.com/2013-HONDA-CIVIC-LX-p.html","2013 Honda Civic LX","2013","2HGFB2F59DH561271","$9,100","140000","16","available","","Honda; Civic LX; BLACK; FWD; Automatic","title capitalization normalized; HONDA normalized to Honda; AUTO normalized to Automatic"
